merchantid,totalunitssold,meanunitssoldperproduct,rating,meanproductprices,meanretailprices,averagediscount,meandiscount,meanproductratingscount,urgencytextrate
5357bcf2bb72c5504882e889,120000,60000.0,4.219,9.0,20.0,54.0,54.0,8836.0,50.0
5708773c3c02161b3f8c7900,107100,21420.0,3.934,7.76,34.2,61.0,61.0,4010.0,60.0
5417aada4ad3ab27e954b76c,100007,50004.0,4.053,8.0,8.0,-1.0,-1.0,5531.0,65.57289002557545
570f3a713a698c14278bb51e,100000,100000.0,3.889,5.67,19.0,71.0,71.0,18393.0,100.0
53082ea15aefb07dfe1f2a4f,100000,100000.0,4.036,5.0,33.0,85.0,85.0,13789.0,65.57289002557545
53f2beb39020ee03566d6e18,100000,100000.0,4.067,5.77,48.0,88.0,88.0,20744.0,65.57289002557545
5926c5ace8ff5525241b368d,96000,13714.0,4.139,6.69,6.29,-4.0,-3.86,2250.0,14.0
5860c757b1e41d4d67d183e8,90100,22525.0,4.049,3.43,3.75,11.0,11.0,6290.0,50.0
52bd3ddb34067e4620a4c62d,80000,26667.0,4.104,7.22,14.67,33.0,33.33,6136.0,33.0
5a7b23a69bda4e3d375e7b3f,80000,16000.0,3.966,8.4,7.8,-7.0,-6.8,2093.0,20.0
53a2a09ad91139519161a267,75000,25000.0,4.256,13.33,100.33,86.0,86.0,4007.0,33.0
539937d634067e06707b1a8e,71100,17775.0,3.968,11.5,86.25,87.0,87.25,6491.0,50.0
58ad449708de0c6dc59d9e06,63100,10517.0,4.147,3.61,3.33,-4.0,-4.17,3292.0,17.0
56e43d9e3a698c3826a5feff,61000,20333.0,4.179,8.67,8.0,-8.0,-8.0,5086.0,33.0
53aa664438d3046ee44a5024,60100,15025.0,4.128,12.5,83.0,86.0,85.5,2517.0,65.57289002557545
53facca81c105e3d5866e212,60000,20000.0,4.157,9.0,114.0,58.0,57.67,3986.0,33.0
5384613a796f680f9d78a127,60000,20000.0,4.387,16.33,14.33,-14.0,-13.67,3708.0,65.57289002557545
558c2cdc89d53c4005ea2920,58500,3900.0,3.885,4.18,4.13,1.0,1.2,749.0,40.0
55c8a4c33a698c6010edcd9e,55200,9200.0,4.121,5.39,5.17,-3.0,-2.67,1141.0,33.0
58106cfce516491e6e5f1e53,55000,27500.0,4.156,5.5,5.0,-8.0,-8.0,5481.0,50.0
5acaf29d5ebcfd72403106a8,54300,4525.0,4.045,5.56,5.17,-4.0,-4.33,512.0,33.0
54af9c1428565a151043b6bf,50000,16667.0,4.038,8.0,7.33,-9.0,-9.33,5719.0,33.0
557ed5b886d66519ff242099,50000,12500.0,4.154,7.12,6.5,-9.0,-9.25,2034.0,25.0
57568f454054c95cbd8d1619,50000,50000.0,3.84,8.0,54.0,86.0,86.0,14568.0,65.57289002557545
5652f4053a698c76dc9a3f37,50000,50000.0,4.077,7.0,6.0,-16.0,-16.0,6742.0,65.57289002557545
5542fcb264b4f014ce88ecae,50000,50000.0,4.095,4.0,6.0,34.0,34.0,10927.0,65.57289002557545
58ad356108de0c6dc39d979d,50000,50000.0,4.095,5.0,5.0,0.0,0.0,7088.0,65.57289002557545
544867549719cd33de1048d5,50000,50000.0,4.096,5.7,58.0,91.0,91.0,8164.0,65.57289002557545
54bcaabb39b8c00b482a115f,50000,50000.0,4.105,9.0,81.0,89.0,89.0,5359.0,65.57289002557545
58c0fff96ecaa3523d59a24d,50000,50000.0,4.165,2.0,2.0,0.0,0.0,7575.0,65.57289002557545
572d45c708fad86678ca1938,50000,50000.0,4.216,4.66,11.0,58.0,58.0,10122.0,65.57289002557545
570b67d4a9dc12590be93b79,50000,50000.0,4.228,6.0,6.0,0.0,0.0,12880.0,65.57289002557545
57e5db02e7f40f131adeeaf8,50000,50000.0,4.302,9.0,8.0,-12.0,-12.0,13198.0,65.57289002557545
5639cd9bddb94f103070ef9f,46000,7667.0,3.968,8.5,41.83,67.0,67.17,1526.0,17.0
